scope_type,scope_code,cohort_year,cohort_parcels,sold_within_12_months,rate_pct,reason
commune,35118,2024,3,1,,support insuffisant : 3 < 200
commune,35119,2024,7,5,,support insuffisant : 7 < 200
commune,35120,2024,56,21,,support insuffisant : 56 < 200
commune,35121,2024,17,4,,support insuffisant : 17 < 200
commune,35122,2024,32,10,,support insuffisant : 32 < 200
commune,35123,2024,27,8,,support insuffisant : 27 < 200
commune,35124,2024,16,3,,support insuffisant : 16 < 200
commune,35125,2024,53,22,,support insuffisant : 53 < 200
commune,35126,2024,82,30,,support insuffisant : 82 < 200
commune,35127,2024,34,10,,support insuffisant : 34 < 200
commune,35128,2024,10,6,,support insuffisant : 10 < 200
commune,35130,2024,32,9,,support insuffisant : 32 < 200
commune,35131,2024,42,20,,support insuffisant : 42 < 200
commune,35132,2024,20,7,,support insuffisant : 20 < 200
commune,35133,2024,34,10,,support insuffisant : 34 < 200
commune,35134,2024,3,0,,support insuffisant : 3 < 200
commune,35135,2024,15,8,,support insuffisant : 15 < 200
commune,35136,2024,101,28,,support insuffisant : 101 < 200
commune,35137,2024,25,6,,support insuffisant : 25 < 200
commune,35138,2024,10,3,,support insuffisant : 10 < 200
commune,35139,2024,46,21,,support insuffisant : 46 < 200
commune,35140,2024,9,1,,support insuffisant : 9 < 200
commune,35141,2024,11,4,,support insuffisant : 11 < 200
commune,35142,2024,13,5,,support insuffisant : 13 < 200
commune,35143,2024,6,4,,support insuffisant : 6 < 200
commune,35144,2024,8,2,,support insuffisant : 8 < 200
commune,35145,2024,18,6,,support insuffisant : 18 < 200
commune,35146,2024,11,6,,support insuffisant : 11 < 200
commune,35149,2024,12,4,,support insuffisant : 12 < 200
commune,35150,2024,31,14,,support insuffisant : 31 < 200
commune,35151,2024,10,1,,support insuffisant : 10 < 200
commune,35152,2024,91,27,,support insuffisant : 91 < 200
commune,35153,2024,2,1,,support insuffisant : 2 < 200
commune,35154,2024,16,9,,support insuffisant : 16 < 200
commune,35155,2024,6,1,,support insuffisant : 6 < 200
commune,35156,2024,4,0,,support insuffisant : 4 < 200
commune,35157,2024,13,3,,support insuffisant : 13 < 200
commune,35160,2024,5,3,,support insuffisant : 5 < 200
commune,35161,2024,19,6,,support insuffisant : 19 < 200
commune,35162,2024,41,16,,support insuffisant : 41 < 200
commune,35163,2024,11,5,,support insuffisant : 11 < 200
commune,35164,2024,12,7,,support insuffisant : 12 < 200
commune,35165,2024,7,3,,support insuffisant : 7 < 200
commune,35166,2024,9,5,,support insuffisant : 9 < 200
commune,35167,2024,37,18,,support insuffisant : 37 < 200
commune,35168,2024,31,8,,support insuffisant : 31 < 200
commune,35169,2024,13,5,,support insuffisant : 13 < 200
commune,35170,2024,6,0,,support insuffisant : 6 < 200
commune,35171,2024,19,5,,support insuffisant : 19 < 200
commune,35172,2024,17,0,,support insuffisant : 17 < 200
commune,35173,2024,86,32,,support insuffisant : 86 < 200
commune,35174,2024,8,3,,support insuffisant : 8 < 200
commune,35175,2024,6,1,,support insuffisant : 6 < 200
commune,35176,2024,44,18,,support insuffisant : 44 < 200
commune,35177,2024,46,17,,support insuffisant : 46 < 200
commune,35178,2024,15,9,,support insuffisant : 15 < 200
commune,35179,2024,57,19,,support insuffisant : 57 < 200
commune,35180,2024,5,1,,support insuffisant : 5 < 200
commune,35181,2024,25,4,,support insuffisant : 25 < 200
commune,35183,2024,6,2,,support insuffisant : 6 < 200
commune,35184,2024,63,23,,support insuffisant : 63 < 200
commune,35185,2024,1,1,,support insuffisant : 1 < 200
commune,35186,2024,14,3,,support insuffisant : 14 < 200
commune,35187,2024,18,6,,support insuffisant : 18 < 200
commune,35188,2024,69,25,,support insuffisant : 69 < 200
commune,35189,2024,23,9,,support insuffisant : 23 < 200
commune,35190,2024,2,0,,support insuffisant : 2 < 200
commune,35191,2024,28,12,,support insuffisant : 28 < 200
commune,35192,2024,1,0,,support insuffisant : 1 < 200
commune,35193,2024,31,14,,support insuffisant : 31 < 200
commune,35194,2024,6,3,,support insuffisant : 6 < 200
commune,35195,2024,14,7,,support insuffisant : 14 < 200
commune,35196,2024,60,26,,support insuffisant : 60 < 200
commune,35197,2024,13,7,,support insuffisant : 13 < 200
commune,35198,2024,5,1,,support insuffisant : 5 < 200
commune,35199,2024,1,0,,support insuffisant : 1 < 200
commune,35200,2024,6,2,,support insuffisant : 6 < 200
commune,35201,2024,9,5,,support insuffisant : 9 < 200
commune,35202,2024,9,4,,support insuffisant : 9 < 200
commune,35203,2024,3,0,,support insuffisant : 3 < 200
commune,35204,2024,39,16,,support insuffisant : 39 < 200
commune,35205,2024,4,2,,support insuffisant : 4 < 200
commune,35206,2024,63,25,,support insuffisant : 63 < 200
commune,35207,2024,48,20,,support insuffisant : 48 < 200
commune,35208,2024,53,15,,support insuffisant : 53 < 200
commune,35210,2024,99,38,,support insuffisant : 99 < 200
commune,35211,2024,24,8,,support insuffisant : 24 < 200
commune,35212,2024,13,4,,support insuffisant : 13 < 200
commune,35214,2024,10,5,,support insuffisant : 10 < 200
commune,35215,2024,16,9,,support insuffisant : 16 < 200
commune,35216,2024,16,8,,support insuffisant : 16 < 200
commune,35217,2024,13,7,,support insuffisant : 13 < 200
commune,35218,2024,8,3,,support insuffisant : 8 < 200
commune,35219,2024,33,12,,support insuffisant : 33 < 200
commune,35220,2024,24,10,,support insuffisant : 24 < 200
commune,35221,2024,21,10,,support insuffisant : 21 < 200
commune,35222,2024,20,6,,support insuffisant : 20 < 200
commune,35223,2024,50,13,,support insuffisant : 50 < 200
commune,35224,2024,18,8,,support insuffisant : 18 < 200
commune,35225,2024,7,4,,support insuffisant : 7 < 200
commune,35226,2024,17,5,,support insuffisant : 17 < 200
commune,35227,2024,22,14,,support insuffisant : 22 < 200
commune,35228,2024,70,27,,support insuffisant : 70 < 200
commune,35229,2024,13,3,,support insuffisant : 13 < 200
commune,35230,2024,7,2,,support insuffisant : 7 < 200
commune,35231,2024,9,5,,support insuffisant : 9 < 200
commune,35232,2024,1,1,,support insuffisant : 1 < 200
commune,35233,2024,11,3,,support insuffisant : 11 < 200
commune,35234,2024,16,4,,support insuffisant : 16 < 200
commune,35235,2024,6,2,,support insuffisant : 6 < 200
commune,35236,2024,143,57,,support insuffisant : 143 < 200
commune,35237,2024,9,5,,support insuffisant : 9 < 200
commune,35238,2024,933,289,31.0,
commune,35239,2024,61,23,,support insuffisant : 61 < 200
commune,35240,2024,89,32,,support insuffisant : 89 < 200
commune,35241,2024,36,13,,support insuffisant : 36 < 200
commune,35242,2024,1,1,,support insuffisant : 1 < 200
commune,35243,2024,20,9,,support insuffisant : 20 < 200
commune,35244,2024,2,1,,support insuffisant : 2 < 200
commune,35245,2024,23,9,,support insuffisant : 23 < 200
commune,35246,2024,7,3,,support insuffisant : 7 < 200
commune,35247,2024,17,7,,support insuffisant : 17 < 200
commune,35248,2024,3,1,,support insuffisant : 3 < 200
commune,35249,2024,9,4,,support insuffisant : 9 < 200
commune,35250,2024,29,12,,support insuffisant : 29 < 200
